Site,Sample_ID,Original_ ID,Region,Culture,species,category,common_name,group,Group,AMS_C14,Age,Sex,percent_C,percent_N,percent_S,CN_atomic,d13C,d15N,d34S,gly_d15N,gly_d15Nstdev,ser_d15N,ser_d15Nstdev,glu_d15N,glu_d15Nstdev,ala_d15N,ala_d15Nstdev,asp_d15N,asp_d15Nstdev,pro_d15N,pro_d15Nstdev,hyp_d15N,hyp_d15Nstdev,val_d15N,val_d15Nstdev,leu_d15N,leu_d15Nstdev,ile_d15N,ile_d15Nstdev,thr_d15N,thr_d15Nstdev,lys_d15N,lys_d15Nstdev,phe_d15N,phe_d15Nstdev,nle_d15N,nle_d15Nstdev,d15N_est,gly_d13C,gly_d13Cstdev,ser_d13C,ser_d13Cstdev,glu_d13C,glu_d13Cstdev,ala_d13C,ala_d13Cstdev,asp_d13C,asp_d13Cstdev,pro_d13C,pro_d13Cstdev,hyp_d13C,hyp_d13Cstdev,val_d13C,val_d13Cstdev,leu_d13C,leu_d13Cstdev,ile_d13C,ile_d13Cstdev,nle_d13C,nle_d13Cstdev,thr_d13C,thr_d13Cstdev,lys_d13C,lys_d13Cstdev,phe_d13C,phe_d13Cstdev,d13C_est,ala_d13C_err,gly_d13C_err,val_d13C_err,leu_d13C_err,ile_d13C_err,nle_d13C_err,thr_d13C_err,ser_d13C_err,pro_d13C_err,asp_d13C_err,glu_d13C_err,hyp_d13C_err,phe_d13C_err,lys_d13C_err
Piaçaguera,PG03,6,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,,21– 35,M,37.2,12.2,0.21,3.5,-15.7,13.9,2.4,11.64,0.27,10.9,0.97,20.78,0.37,18.27,0.09,17.48,0.89,18.37,0.07,18.62,0.16,19.99,0.31,15.97,0.16,18.76,0.88,-18.53,1.06,5.5,1.69,9.96,0.15,14.72,0.14,13.32,-10.26,0.47,-5.92,1.12,-16.4,0.33,-19.48,0.4,-17.14,0.97,-16.51,0.23,-17.1,1.1,-19.78,0.67,-27.06,0.91,-16.84,0.52,-27.29,0.17,-2.33,0.09,-15.39,0.38,-22.65,0.28,-15.49,0.93,0.57,0.27,1.61,0.3,0.39,0.63,1.72,0.39,0.57,0.8,0.9,0.6,0.7
Piaçaguera,PG08,15,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,5437 ¬± 31,36 – 50,F,42.9,14.2,0.27,3.5,-16.7,13.3,0.8,10.97,0.35,11.1,1.33,18.71,0.47,15.81,0.92,16.98,1.59,16.92,0.08,19.11,0.21,18.21,1.21,12.5,0.14,16.34,0.32,-13.86,0.57,4.93,0.42,10.54,0.43,14.43,0.16,12.52,-11.08,0.08,-3.19,0.39,-18.13,0.13,-23.04,0.27,-17.85,0.25,-19.44,0.23,-17.89,0.29,-22.31,0.4,-26.83,0.14,-17.6,0.32,-28.15,0.36,-4.94,0.32,-17.5,1.11,-23.96,0.05,-17.28,0.89,0.63,0.44,1.57,0.38,0.38,0.82,2.02,0.34,0.43,0.7,1.1,0.9,0.7
Piaçaguera,PG09,17,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,,11 – 20,F,42.7,14.2,0.21,3.5,-16.5,12.6,-0.2,9.6,0.2,10.5,2.2,17.1,0.2,15.6,0.1,16,0.3,18.4,0.1,19.7,0.2,16.8,0.9,9.6,0.2,16.8,0.9,-17.1,1.9,4.9,0.3,8.8,0.2,14.4,0.2,11.99,-11.36,0.38,-5.93,0.43,-17.62,0.4,-19.84,0.02,-17.82,0.35,-19.8,0.14,-18.64,0.23,-20.7,0.62,-27.28,0.11,-17.43,0.65,-27.46,0.26,-5.73,0.12,-17.96,0.17,-23.52,0.05,-17.14,1.05,1.09,0.53,1.58,2.03,0.5,1.41,1.75,0.48,0.41,0.8,1.1,0.7,1
Piaçaguera,PG10,18,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,,11 – 20,,44.3,15,0.16,3.4,-15.6,14.6,3.3,12.85,0.07,11.69,0.05,20.06,0.32,17.55,0.93,17.22,0.08,19.18,0.86,19.62,0.27,19.63,0.54,15.57,0.23,18.35,0.17,-15.93,1.02,5.56,0.38,9.1,1.74,14.76,0.25,13.78,-10.66,0.96,-4.32,0.37,-17.45,0.45,-21.71,0.56,-17.74,0.19,-18.54,0.36,-17.36,0.5,-20.31,0.46,-29.85,0.28,-15.24,2.01,-27.32,0.35,-4.26,1.28,-17.43,0.85,-24.5,0.37,-15.58,1.02,1.04,0.73,1.26,1.42,0.71,1.19,1.32,0.69,0.64,0.87,1.03,0.85,1.02
Piaçaguera,PG11,19,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,,36 – 50,,43.6,14.5,0.21,3.5,-15.2,13.8,0.7,11.52,0.22,11.25,0.13,19.32,0.67,17.95,0.32,16.77,0.22,17.36,0.03,20.3,0.17,18.12,0.23,15.16,0.2,17.12,0.36,-14.05,0.14,5.22,0.52,10.41,0.26,13.59,0.07,14,-8.34,0.37,-2.25,1.08,-16.6,0.39,-20.71,0.04,-17.32,0.24,-17.48,0.12,-16.2,0.56,-20.02,0.36,-24.8,0.19,-14.99,0.27,-27.38,0.11,-3.4,0.55,-16.45,0.32,-22.3,0.62,-15.5,0.72,0.62,0.75,0.97,0.4,0.39,0.73,0.92,0.49,0.89,0.6,1,0.4,3.9
Piaçaguera,PG18,32,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,,11 – 20,F,43.7,14.6,0.2,3.5,-15.5,14.3,3.5,12.81,0.21,11.47,0.3,20.04,0.88,16.99,0.07,20.28,0.95,18.5,0.1,20.24,0.02,18.05,0.02,14.48,0.23,17.35,0.64,-13.58,1.23,5.3,0.28,10.72,0.22,13.67,0.05,14.72,-10.33,0.16,-2.93,0.55,-16.92,0.14,-21.95,0.26,-11.08,0.56,-17.14,0.17,-15.9,0.34,-20.25,0.32,-24.91,0.19,-16.38,0.18,-27.36,0.11,-2.22,0.12,-16.97,0.04,-24.14,0.31,-14.79,0.86,0.7,0.39,0.97,0.41,0.47,1.17,0.92,0.54,1.02,0.6,0.9,0.6,4.3
Piaçaguera,PG19,36,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,,21 – 35,F,43.8,14.7,0.19,3.5,-15.5,13.9,0.8,12.1,0.7,12.6,0.8,18,0.4,17.1,0.1,16.7,0,19.4,0.2,20.5,0.1,18.9,0.1,12.1,0.7,19.4,1.7,-17.4,0.7,5.9,0.4,8.7,0.2,15.1,0.2,12.92,-13.67,0.12,-8.33,0.06,-17.63,0.11,-19.9,0.07,-18.72,0.45,-20.14,0.33,-18.95,0.12,-20.79,0.19,-26.89,0.57,-17.55,0.37,-28.7,0.21,-5.69,0.12,-19.32,0.44,-23.11,0.44,-17.86,0.27,0.16,0.41,0.29,0.23,0.12,0.6,0.4,0.24,0.63,0.3,1,1.2,1.4
Piaçaguera,PG26,56,Baixada santista,Sambaquis,Homo sapiens,human,human,Human,Piacaguera_human,,36 – 50,F,43.2,14.3,0.19,3.5,-13,16.2,5.3,14.35,0.14,13.44,0.43,22.61,0.4,20.36,0.8,19.95,0.7,19.75,0.08,20.88,0.18,23.01,0.42,18.05,0.12,21.21,0.45,-17.37,0.15,5.67,0.97,9.91,0.29,15.07,0.09,14.97,-6.83,0.14,-4.08,1.14,-14.83,0.87,-17.63,0.61,-15.02,0.88,-14.28,0.62,-15.75,0.73,-17.39,0.26,-25.33,0.26,-14.64,0.71,-27.63,0.54,-0.48,0.66,-14.92,0.91,-22.15,0.33,-12.49,1.11,0.75,0.85,0.74,0.81,0.5,1.04,1.09,0.58,1.33,0.8,0.8,0.7,0.7
Morro do Ouro,NGeo 1,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,37.6,13.2,0.22,3.3,-14.1,13,10,10.17,0.05,11.54,0.29,17.52,0.12,16.77,0.1,15.16,0.37,16.61,0.09,16.49,0.46,17.12,0.09,16.23,0.25,17.08,1,-12.79,0.22,5.43,0.7,6.36,0.87,14.19,0.13,12.66,-4.22,0.45,-0.91,0.41,-12.44,1.06,-16.19,0.22,-14.62,1.37,-15.23,0.68,-14.16,0.94,-18.87,0.31,-21.88,0.15,-13.83,0.43,-26.75,0.81,-5.26,0.02,-13.65,0.68,-21.59,0.09,-12.52,1.56,2.08,0.72,0.54,0.56,1.21,0.67,1.28,1.73,2,2,1.4,0.6,0.9
Morro do Ouro,NGeo 2,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,39.3,13.4,0.26,3.4,-13.5,13.2,9,9.85,0.04,12.28,0.75,18.39,0.2,17.85,0.2,15.85,0.41,17.12,0.09,17.25,0.09,18.49,0.15,16.96,0.33,17.57,0.48,-14.09,0.72,5.21,0.17,4.62,0.52,14.28,0.19,12.91,-8.1,1.1,-3.03,0.37,-12.93,0.57,-18.2,0.67,-16.67,0.87,-15.69,0.74,-15.49,0.62,-18.65,0.2,-23.38,0.49,-15.46,0.07,-28.29,0.28,-7.37,0.78,-14.75,0.37,-21.99,0.46,-13.99,1.68,2.31,0.68,0.71,0.36,0.94,1.03,1.27,1.76,1.69,1.7,1.2,0.8,0.6
Morro do Ouro,NGeo 3,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,40.5,13.9,0.26,3.4,-13.3,13.6,11.1,10.57,0.04,10.24,0.37,18.03,0.23,19.48,0.05,15.38,0.06,16.51,0.08,17.19,0.18,19.05,0.37,16.69,0.09,17.85,0.12,-12.62,0.43,5.39,0.58,5.37,0.16,14.13,0.19,13.14,-7.63,0.71,-1.75,1.29,-13.16,0.8,-18.38,0.55,-16.05,0.43,-14.8,0.39,-13.34,0.58,-16.56,0.28,-24.29,0.64,-15.53,0.18,-27.36,0.3,-6.51,0.95,-13.16,0.25,-21.36,0.36,-13.44,1.89,1.36,1.03,1.02,0.56,0.66,1.14,1.47,1.21,1.55,1.4,1.8,1.7,0.8
Morro do Ouro,NGeo 4,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,43.2,15.2,0.2,3.4,-11,13.5,9.8,9.32,0.11,9.28,0.2,18.28,0.3,18.7,0.07,15.34,0.41,16.27,0.09,17.32,0.39,19.07,0.13,16.67,0.09,18.3,1.18,-12.14,0.73,3.89,0.96,3.96,0.45,13.52,0.18,12.45,-5.94,0.24,-0.44,0.71,-8,0.5,-17.56,0.59,-12.89,0.39,-13.4,0.41,-9.54,0.26,-13.91,0.13,-22.19,0.22,-13.78,0.68,-27.16,0.21,-1.26,1.25,-11.67,0.86,-19.56,0.26,-11.42,0.79,1.4,0.64,0.8,0.84,0.67,1.42,1.02,1.33,1.45,1.2,1.8,1.2,1.1
Morro do Ouro,NGeo 5,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,25.2,8.9,0.24,3.3,-19.9,9.5,8,7.38,0.12,8.88,0.14,12.6,0.04,13.17,0.2,10.38,0.16,13.46,0.03,13.58,0.1,12.63,0.67,10.68,0.39,11.46,0.86,-12.85,0.86,2.27,0.15,6.62,1.04,13.83,0.2,9.41,-18.21,1.01,-11.12,0.34,-20.63,0.56,-24.66,0.54,-22.75,1.35,-21.61,0.22,-20.49,0.56,-23.96,0.49,-31.56,0.38,-23.5,1.11,-28.68,0.22,-13.3,0.81,-20.91,0.07,-26.36,0.12,-20.97,1.88,1.54,1.11,0.88,1.23,0.63,1.04,0.78,1.17,2.01,1.3,1.8,1.7,0.8
Morro do Ouro,NGeo 6,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,42.7,14.3,0.22,3.5,-11.7,13.1,9.1,10.19,0.03,10.82,0.53,18.28,0.1,17.28,0.04,15.76,0.11,16.24,0.08,16.41,0.07,18.23,0.77,17,0.16,17.68,0.47,-11.87,1.28,4.56,0.22,5.81,0.03,14.41,0.15,12.7,-6.92,0.57,-0.91,0.71,-11.83,0.48,-16.77,0.54,-15.49,0.04,-15.17,0.11,-13.38,1.44,-17.18,0.24,-21.47,0.55,-15.07,0.7,-28.94,0.86,-3.68,2.71,-12.46,0.42,-20.73,0.24,-12.86,1.64,2.11,0.7,0.76,0.78,1.24,2.79,1.4,1.6,1.46,1.7,1.8,0.7,0.7
Morro do Ouro,NGeo 7,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,32.9,10.9,0.24,3.5,-12.8,15.4,10.7,12.72,0.08,14.05,0.17,21.01,0.21,20.42,0.05,18.42,0.14,18.79,0.04,19.37,0.22,20.46,0.47,19.9,0.41,21.16,1.35,-16.38,0.11,6.7,0.25,6.71,0.64,14.32,0.31,15.16,-5.94,0.44,-3.33,0.14,-11.42,0.33,-18.33,0.33,-15.59,1.24,-13.49,0.66,-14.6,0.65,-17.83,0.92,-20.48,0.33,-13.88,0.75,-28.33,0.39,-3.48,0.62,-14.49,0.47,-21.24,0.46,-12.44,1.39,0.97,1.06,0.43,0.79,0.6,1.05,0.86,1.53,1.75,1.4,1.2,0.7,0.6
Morro do Ouro,NGeo 8,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,43,14.6,0.2,3.4,-13.5,12.7,10.8,9.49,0.19,11.13,0.21,17.68,0.23,16.55,0.1,15,0.22,16.06,0.09,16.82,0.18,17.57,0.47,16.26,0.09,16.23,0.51,-11.94,0.71,5.19,0.51,5.62,0.88,14.36,0.11,12.27,-6.08,0.73,-2.29,2.24,-11.84,0.66,-17.8,0.94,-17.62,1.6,-14.99,0.44,-14.58,0.25,-18.97,0.78,-23.46,0.48,-15.52,0.2,-27.66,0.31,-5.63,0.5,-13.48,0.43,-22.25,0.64,-13.2,1.64,1.13,0.94,0.56,0.32,0.56,0.99,2.4,1.44,2.02,1.5,1,0.8,0.6
Morro do Ouro,NGeo 9,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,42.5,14.6,0.2,3.4,-12.5,14,10.5,11.18,0.16,6.39,0.32,19.4,0.24,19.28,0.17,16.61,0.2,17.7,0.11,18.43,0.29,20.49,0.2,18.54,0.17,20.24,0.69,-14.53,0.51,8.5,1.27,5.82,0.95,14.56,0.08,13.9,-5.58,0.82,-1.04,0.23,-11.08,0.05,-18.37,0.64,-12.92,0.7,-13.98,0.23,-11.03,0.41,-16.27,0.03,-23.21,0.05,-14.79,0.14,-27.24,0.13,-5.49,1.02,-12.22,0.48,-20.84,0.21,-12.22,0.83,1.61,0.62,0.77,0.52,0.65,1.22,0.77,1.29,1.56,1.1,1.8,1.2,0.8
Morro do Ouro,NGeo 10,,Babitonga Bay,Sambaquis,Homo sapiens,human,human,Human,Md'Ouro_human,,,,39.1,13.3,0.2,3.4,-13.4,14.2,9.8,11.24,0.12,12.4,0.4,19.26,0.36,18.31,0.13,16.52,0.18,17.63,0.13,18.12,0.2,19.1,0.46,17.8,0.37,17.96,0.76,-13.76,0.52,5.63,0.22,5.69,0.3,14.3,0.31,13.12,-7.84,0.39,-4.41,0.6,-13.76,0.31,-18.04,0.56,-16.4,0.7,-15.23,0.79,-14.3,0.24,-18.38,0.85,-21.29,0.19,-14.51,0.49,-28.16,0.56,-4.8,1.02,-14.27,0.03,-22.1,0.15,-13.72,1.46,0.95,1,0.34,0.55,0.73,1.33,1.04,1.58,1.42,1.4,1,0.5,0.4
Morro do Ouro,TRD_765,,Babitonga Bay,Sambaquis,Centropomus spp.,marine_fauna,snook,Fauna,marine_fauna,,,,37.8,12.6,0.4,3.5,-10.76,8.4,4.6,3.26,0.04,3.34,0.66,15.41,0.09,19.3,0.33,12.47,0.29,13.17,0.13,12.76,0.1,15.35,0.67,14.55,0.3,15.57,0.27,-16.07,0.89,1.77,0.21,1.79,1.33,13.9,0.21,7.98,-4.55,0.37,3.29,0.75,-7.4,1.73,-16.37,0.48,-10.88,0.98,-12.36,0.43,-11.94,0.11,-17.95,0.12,-21.62,0.14,-14.98,0.24,-28.33,0.28,-6.93,0.4,-13.25,0.88,-20.11,0.25,-9.88,1.87,1.22,1,0.81,0.58,0.65,0.75,1.03,1.23,1.79,2.1,1.7,1.7,1.2
PSG-02,TRD534,,Patos lagoon,Cerritos,Pogonias cromis,marine_fauna,black drum,Fauna,marine_fauna,,,,33.9,12.5,0.38,3.2,-13.3,12.2,15.3,3.89,0.27,3.4,0.57,21.45,1.49,23.01,0.45,17.49,1.21,17.85,0.21,18.25,0.59,22.92,1.36,18.26,0.56,,,-9.36,2.69,6.41,0.4,3.3,0.32,13.58,0.21,11.02,-4.49,0.46,-2.15,0.61,-14.52,0.47,-16.42,0.56,-14.9,0.26,-17.09,0.25,-15.27,0.12,-21.41,0.34,-27.03,0.16,-19.75,1.07,-27.82,0.37,-6.36,0.14,-17.32,0.13,-25.01,0.25,-10.94,1.09,0.6,0.64,0.7,0.87,0.7,1.37,1.05,0.43,1.48,0.5,1.1,0.5,1
Morro do Ouro,TRD_860,,Babitonga Bay,Sambaquis,Ariidae spp.,marine_fauna,catfish,Fauna,marine_fauna,,,,38.4,13.4,0.3,3.3,-15.8,10.6,10.9,4.23,0.13,5.16,0.38,19.54,0.12,21.09,0.3,17.03,0.11,15.63,0.17,15.6,0.23,20.62,1.17,20.36,0.15,20.47,1.09,-10.11,0.93,5.02,0.88,4.11,0.81,14.55,0.24,11.14,-9.8,0.06,-3.86,0.79,-14.71,0.42,-19.3,1.68,-16.28,0.64,-18.44,0.48,-16.34,0.98,-22.48,0.66,-26.49,0.11,-20.05,0.7,-27.46,0.52,-12.8,0.98,-16.43,0.96,-24.61,0.19,-15.12,1.76,1.38,0.91,0.77,0.86,0.82,1.19,1.08,1.36,1.53,1.2,2,1.2,1.2
Morro do Ouro,TRD_795,,Babitonga Bay,Sambaquis,Ariidae spp.,marine_fauna,catfish,Fauna,marine_fauna,,,,36.5,12.8,0.3,3.3,-10.9,8.9,5.6,4.42,0.12,4.03,0.33,18.09,0.05,25.53,0.07,15.83,0.57,12.33,0.29,11.71,0.41,17.68,0.26,19.55,0.27,18.52,1.85,-11.24,0.41,2.3,0.68,4.2,0.2,14.15,0.01,9.71,-5.6,0.17,0.67,0.63,-6.91,0.35,-16.54,0.67,-11.51,0.54,-13.86,0.42,-12.71,0.37,-18.76,0.48,-21.11,0.24,-15.8,0.42,-29.77,0.2,-8.77,0.98,-12.81,0.58,-19.83,0.13,-10.65,1.93,1.17,1.1,0.83,0.68,0.62,0.95,0.95,1.22,1.59,1.3,1.7,1.7,1
