"Site","Sample_ID","Original_ID","Region","Culture","species","category","common_name","group","Group","AMS_C14","Age","Sex","percent_C","percent_N","percent_S","CN_atomic","d13C","d15N","d34S","gly_d15N","gly_d15Nstdev","ser_d15N","ser_d15Nstdev","glu_d15N","glu_d15Nstdev","ala_d15N","ala_d15Nstdev","asp_d15N","asp_d15Nstdev","pro_d15N","pro_d15Nstdev","hyp_d15N","hyp_d15Nstdev","val_d15N","val_d15Nstdev","leu_d15N","leu_d15Nstdev","ile_d15N","ile_d15Nstdev","thr_d15N","thr_d15Nstdev","lys_d15N","lys_d15Nstdev","phe_d15N","phe_d15Nstdev","nle_d15N","nle_d15Nstdev","d15N_est","gly_d13C","gly_d13Cstdev","ser_d13C","ser_d13Cstdev","glu_d13C","glu_d13Cstdev","ala_d13C","ala_d13Cstdev","asp_d13C","asp_d13Cstdev","pro_d13C","pro_d13Cstdev","hyp_d13C","hyp_d13Cstdev","val_d13C","val_d13Cstdev","leu_d13C","leu_d13Cstdev","ile_d13C","ile_d13Cstdev","nle_d13C","nle_d13Cstdev","thr_d13C","thr_d13Cstdev","lys_d13C","lys_d13Cstdev","phe_d13C","phe_d13Cstdev","d13C_est","ala_d13C_err","gly_d13C_err","val_d13C_err","leu_d13C_err","ile_d13C_err","nle_d13C_err","thr_d13C_err","ser_d13C_err","pro_d13C_err","asp_d13C_err","glu_d13C_err","hyp_d13C_err","phe_d13C_err","lys_d13C_err","number_marine","Category_marine","Mean_marine","SD_marine","X2_5_percent_marine","X5_percent_marine","X25_percent_marine","X50_percent_marine","X75_percent_marine","X95_percent_marine","X97_5_percent_marine","number_terrestrial","Category_terrestrial","Mean_terrestrial","SD_terrestrial","X2_5_percent_terrestrial","X5_percent_terrestrial","X25_percent_terrestrial","X50_percent_terrestrial","X75_percent_terrestrial","X95_percent_terrestrial","X97_5_percent_terrestrial"
"Piaçaguera","PG03"," 6","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","","21– 35","M","37.2","12.2","0.21","3.5","-15.70","13.9"," 2.4","11.64","0.27","10.90","0.97","20.78","0.37","18.27","0.09","17.48","0.89","18.37","0.07","18.62","0.16","19.99","0.31","15.97","0.16","18.76","0.88","-18.53","1.06"," 5.500","1.690"," 9.96","0.15","14.72","0.14","13.32","-10.26","0.47"," -5.92","1.12","-16.40","0.33","-19.48","0.40","-17.14","0.97","-16.51","0.23","-17.10","1.10","-19.78","0.67","-27.06","0.91","-16.84","0.52","-27.29","0.17"," -2.33","0.09","-15.39","0.38","-22.65","0.28","-15.49","0.93","0.57","0.27","1.61","0.30","0.39","0.63","1.72","0.39","0.57","0.80","0.90","0.60","0.70","p","marine_fauna","0.820","0.070","0.691","0.706","0.771","0.816","0.866","0.943","0.960","p","terrestrial_fauna","0.180","0.070","0.040","0.057","0.134","0.184","0.229","0.294","0.309"
"Piaçaguera","PG08","15","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","5437 ¬± 31","36 – 50","F","42.9","14.2","0.27","3.5","-16.70","13.3"," 0.8","10.97","0.35","11.10","1.33","18.71","0.47","15.81","0.92","16.98","1.59","16.92","0.08","19.11","0.21","18.21","1.21","12.50","0.14","16.34","0.32","-13.86","0.57"," 4.930","0.420","10.54","0.43","14.43","0.16","12.52","-11.08","0.08"," -3.19","0.39","-18.13","0.13","-23.04","0.27","-17.85","0.25","-19.44","0.23","-17.89","0.29","-22.31","0.40","-26.83","0.14","-17.60","0.32","-28.15","0.36"," -4.94","0.32","-17.50","1.11","-23.96","0.05","-17.28","0.89","0.63","0.44","1.57","0.38","0.38","0.82","2.02","0.34","0.43","0.70","1.10","0.90","0.70","p","marine_fauna","0.692","0.066","0.572","0.589","0.647","0.689","0.733","0.805","0.832","p","terrestrial_fauna","0.308","0.066","0.168","0.195","0.267","0.311","0.353","0.411","0.428"
"Piaçaguera","PG09","17","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","","11 – 20","F","42.7","14.2","0.21","3.5","-16.50","12.6","-0.2"," 9.60","0.20","10.50","2.20","17.10","0.20","15.60","0.10","16.00","0.30","18.40","0.10","19.70","0.20","16.80","0.90"," 9.60","0.20","16.80","0.90","-17.10","1.90"," 4.900","0.300"," 8.80","0.20","14.40","0.20","11.99","-11.36","0.38"," -5.93","0.43","-17.62","0.40","-19.84","0.02","-17.82","0.35","-19.80","0.14","-18.64","0.23","-20.70","0.62","-27.28","0.11","-17.43","0.65","-27.46","0.26"," -5.73","0.12","-17.96","0.17","-23.52","0.05","-17.14","1.05","1.09","0.53","1.58","2.03","0.50","1.41","1.75","0.48","0.41","0.80","1.10","0.70","1.00","p","marine_fauna","0.723","0.067","0.606","0.624","0.677","0.719","0.765","0.841","0.868","p","terrestrial_fauna","0.277","0.067","0.132","0.159","0.235","0.281","0.323","0.376","0.394"
"Piaçaguera","PG10","18","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","","11 – 20","","44.3","15.0","0.16","3.4","-15.60","14.6"," 3.3","12.85","0.07","11.69","0.05","20.06","0.32","17.55","0.93","17.22","0.08","19.18","0.86","19.62","0.27","19.63","0.54","15.57","0.23","18.35","0.17","-15.93","1.02"," 5.560","0.380"," 9.10","1.74","14.76","0.25","13.78","-10.66","0.96"," -4.32","0.37","-17.45","0.45","-21.71","0.56","-17.74","0.19","-18.54","0.36","-17.36","0.50","-20.31","0.46","-29.85","0.28","-15.24","2.01","-27.32","0.35"," -4.26","1.28","-17.43","0.85","-24.50","0.37","-15.58","1.02","1.04","0.73","1.26","1.42","0.71","1.19","1.32","0.69","0.64","0.87","1.03","0.85","1.02","p","marine_fauna","0.727","0.073","0.599","0.619","0.675","0.724","0.772","0.857","0.889","p","terrestrial_fauna","0.273","0.073","0.111","0.143","0.228","0.276","0.325","0.381","0.401"
"Piaçaguera","PG11","19","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","","36 – 50","","43.6","14.5","0.21","3.5","-15.20","13.8"," 0.7","11.52","0.22","11.25","0.13","19.32","0.67","17.95","0.32","16.77","0.22","17.36","0.03","20.30","0.17","18.12","0.23","15.16","0.20","17.12","0.36","-14.05","0.14"," 5.220","0.520","10.41","0.26","13.59","0.07","14.00"," -8.34","0.37"," -2.25","1.08","-16.60","0.39","-20.71","0.04","-17.32","0.24","-17.48","0.12","-16.20","0.56","-20.02","0.36","-24.80","0.19","-14.99","0.27","-27.38","0.11"," -3.40","0.55","-16.45","0.32","-22.30","0.62","-15.50","0.72","0.62","0.75","0.97","0.40","0.39","0.73","0.92","0.49","0.89","0.60","1.00","0.40","3.90","p","marine_fauna","0.870","0.064","0.741","0.763","0.824","0.871","0.918","0.974","0.984","p","terrestrial_fauna","0.130","0.064","0.016","0.026","0.082","0.129","0.176","0.237","0.259"
"Piaçaguera","PG18","32","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","","11 – 20","F","43.7","14.6","0.2","3.5","-15.50","14.3"," 3.5","12.81","0.21","11.47","0.30","20.04","0.88","16.99","0.07","20.28","0.95","18.50","0.10","20.24","0.02","18.05","0.02","14.48","0.23","17.35","0.64","-13.58","1.23"," 5.300","0.280","10.72","0.22","13.67","0.05","14.72","-10.33","0.16"," -2.93","0.55","-16.92","0.14","-21.95","0.26","-11.08","0.56","-17.14","0.17","-15.90","0.34","-20.25","0.32","-24.91","0.19","-16.38","0.18","-27.36","0.11"," -2.22","0.12","-16.97","0.04","-24.14","0.31","-14.79","0.86","0.70","0.39","0.97","0.41","0.47","1.17","0.92","0.54","1.02","0.60","0.90","0.60","4.30","p","marine_fauna","0.785","0.071","0.658","0.678","0.734","0.781","0.832","0.910","0.942","p","terrestrial_fauna","0.215","0.071","0.058","0.090","0.168","0.219","0.266","0.322","0.342"
"Piaçaguera","PG19","36","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","","21 – 35","F","43.8","14.7","0.19","3.5","-15.50","13.9"," 0.8","12.10","0.70","12.60","0.80","18.00","0.40","17.10","0.10","16.70","0.00","19.40","0.20","20.50","0.10","18.90","0.10","12.10","0.70","19.40","1.70","-17.40","0.70"," 5.900","0.400"," 8.70","0.20","15.10","0.20","12.92","-13.67","0.12"," -8.33","0.06","-17.63","0.11","-19.90","0.07","-18.72","0.45","-20.14","0.33","-18.95","0.12","-20.79","0.19","-26.89","0.57","-17.55","0.37","-28.70","0.21"," -5.69","0.12","-19.32","0.44","-23.11","0.44","-17.86","0.27","0.16","0.41","0.29","0.23","0.12","0.60","0.40","0.24","0.63","0.30","1.00","1.20","1.40","p","marine_fauna","0.727","0.067","0.606","0.626","0.682","0.721","0.768","0.845","0.874","p","terrestrial_fauna","0.273","0.067","0.126","0.155","0.232","0.279","0.318","0.374","0.394"
"Piaçaguera","PG26","56","Baixada santista","Sambaquis","Homo sapiens","human","human","Human","Piacaguera_human","","36 – 50","F","43.2","14.3","0.19","3.5","-13.00","16.2"," 5.3","14.35","0.14","13.44","0.43","22.61","0.40","20.36","0.80","19.95","0.70","19.75","0.08","20.88","0.18","23.01","0.42","18.05","0.12","21.21","0.45","-17.37","0.15"," 5.670","0.970"," 9.91","0.29","15.07","0.09","14.97"," -6.83","0.14"," -4.08","1.14","-14.83","0.87","-17.63","0.61","-15.02","0.88","-14.28","0.62","-15.75","0.73","-17.39","0.26","-25.33","0.26","-14.64","0.71","-27.63","0.54"," -0.48","0.66","-14.92","0.91","-22.15","0.33","-12.49","1.11","0.75","0.85","0.74","0.81","0.50","1.04","1.09","0.58","1.33","0.80","0.80","0.70","0.70","p","marine_fauna","0.918","0.049","0.810","0.828","0.886","0.925","0.957","0.987","0.991","p","terrestrial_fauna","0.082","0.049","0.009","0.013","0.043","0.075","0.114","0.172","0.190"
"Morro do Ouro","NGeo 1",NA,"Babitonga Bay","Sambaquis","Homo sapiens","human","human","Human","Md'Ouro_human","","","","37.6","13.2","0.22","3.3","-14.10","13.0","10.0","10.17","0.05","11.54","0.29","17.52","0.12","16.77","0.10","15.16","0.37","16.61","0.09","16.49","0.46","17.12","0.09","16.23","0.25","17.08","1.00","-12.79","0.22"," 5.430","0.700"," 6.36","0.87","14.19","0.13","12.66"," -4.22","0.45"," -0.91","0.41","-12.44","1.06","-16.19","0.22","-14.62","1.37","-15.23","0.68","-14.16","0.94","-18.87","0.31","-21.88","0.15","-13.83","0.43","-26.75","0.81"," -5.26","0.02","-13.65","0.68","-21.59","0.09","-12.52","1.56","2.08","0.72","0.54","0.56","1.21","0.67","1.28","1.73","2.00","2.00","1.40","0.60","0.90","p","marine_fauna","0.947","0.038","0.852","0.873","0.926","0.956","0.976","0.992","0.995","p","terrestrial_fauna","0.053","0.038","0.005","0.008","0.024","0.044","0.074","0.127","0.148"
"Morro do Ouro","NGeo 2",NA,"Babitonga Bay","Sambaquis","Homo sapiens","human","human","Human","Md'Ouro_human","","","","39.3","13.4","0.26","3.4","-13.50","13.2"," 9.0"," 9.85","0.04","12.28","0.75","18.39","0.20","17.85","0.20","15.85","0.41","17.12","0.09","17.25","0.09","18.49","0.15","16.96","0.33","17.57","0.48","-14.09","0.72"," 5.210","0.170"," 4.62","0.52","14.28","0.19","12.91"," -8.10","1.10"," -3.03","0.37","-12.93","0.57","-18.20","0.67","-16.67","0.87","-15.69","0.74","-15.49","0.62","-18.65","0.20","-23.38","0.49","-15.46","0.07","-28.29","0.28"," -7.37","0.78","-14.75","0.37","-21.99","0.46","-13.99","1.68","2.31","0.68","0.71","0.36","0.94","1.03","1.27","1.76","1.69","1.70","1.20","0.80","0.60","p","marine_fauna","0.916","0.050","0.804","0.823","0.881","0.922","0.956","0.986","0.990","p","terrestrial_fauna","0.084","0.050","0.010","0.014","0.044","0.078","0.119","0.177","0.196"
