"Source","Meanile_d13C","Meanleu_d13C","Meanlys_d13C","Meanval_d13C","Meanphe_d13C","Meanphe_d15N","Meanlys_d15N","SDile_d13C","SDleu_d13C","SDlys_d13C","SDval_d13C","SDphe_d13C","SDphe_d15N","SDlys_d15N"
"marine_fauna",-0.7,-0.3,0,-0.1,0,0.1,0.8,1.5,0.8,0,1.1,0.4,0.2,0.4
"terrestrial_fauna",-0.7,-0.3,0,-0.1,0,0.1,0.8,1.5,0.8,0,1.1,0.4,0.2,0.4
