"Group","Meanile_d13C","Meanleu_d13C","Meanlys_d13C","Meanval_d13C","Meanphe_d13C","Meanphe_d15N","Meanlys_d15N","SDile_d13C","SDleu_d13C","SDlys_d13C","SDval_d13C","SDphe_d13C","SDphe_d15N","SDlys_d15N","n"
"marine_fauna",-16.763,-23.794,-14.785,-19.321,-22.269,5.565,5.042,2.10243271790879,2.75847059074408,1.7598500567441,1.90242214032533,1.73997094484043,-22.269,5.042,10
"terrestrial_fauna",-28.8725,-34.13,-22.38,-29.0175,-28.4275,8.38,0.8525,1.51502200204045,2.5313237643573,0.676165660175079,0.215464614264153,1.05537907881481,-28.4275,0.8525,4
